№,Word,Articles
489,00,['cnn']
775,000,['cnn']
320,03,['cnn']
64,059,['cnn']
765,1,['cnn']
875,10,['cnn']
1074,1000,['cnn']
22,10000,['cnn']
1138,1021,['cnn']
413,1022,['cnn']
234,1023,['cnn']
144,1024,['cnn']
543,1025,['cnn']
1137,1029,['cnn']
742,105,['cnn']
935,106,['cnn']
110,108,['cnn']
526,10th,['cnn']
568,11,['cnn']
377,110,['cnn']
881,1109,['cnn']
804,12,['cnn']
470,12858,['cnn']
1121,1295,['cnn']
29,12th,['cnn']
531,13,['cnn']
819,1301,['cnn']
691,13392,['cnn']
188,1345,['cnn']
215,1359,['cnn']
240,13th,['cnn']
118,14,['cnn']
544,1405,['cnn']
260,143,['cnn']
341,149,['cnn']
82,15,['cnn']
631,153,['cnn']
312,159,['cnn']
198,16,['cnn']
446,168,['cnn']
828,17,['cnn']
375,171,['cnn']
59,1717,['cnn']
509,1724,['cnn']
369,18,['cnn']
132,1805,['cnn']
370,18794,['cnn']
1004,19,['cnn']
440,191,['cnn']
1063,1985,['cnn']
450,1987,['cnn']
358,1988,['cnn']
353,1989,['cnn']
904,1990,['cnn']
681,1994,['cnn']
393,1995,['cnn']
845,1998,['cnn']
420,1st,['cnn']
1096,2,['cnn']
884,20,['cnn']
168,2000,['cnn']
778,2001,['cnn']
103,2002,['cnn']
987,2003,['cnn']
185,2005,['cnn']
1050,2006,['cnn']
384,2009,['cnn']
869,2010,['cnn']
1130,2012,['cnn']
607,2014,['cnn']
662,2015,['cnn']
678,2018,['cnn']
465,203,['cnn']
1093,204,['cnn']
324,2051,['cnn']
506,2059,['cnn']
302,21,['cnn']
1061,216,['cnn']
78,22,['cnn']
609,22533,['cnn']
883,22556,['cnn']
525,23,['cnn']
861,233,['cnn']
523,24,['cnn']
893,25,['cnn']
1057,25000,['cnn']
309,26,['cnn']
179,27,['cnn']
1068,28,['cnn']
51,29,['cnn']
130,2nd,['cnn']
771,3,['cnn']
345,30,['cnn']
147,300,['cnn']
798,3000,['cnn']
516,304,['cnn']
495,308809184,['cnn']
50,31,['cnn']
49,32,['cnn']
58,35,['cnn']
502,3531,['cnn']
1011,37,['cnn']
1028,375,['cnn']
683,3762,['cnn']
252,37858,['cnn']
1058,4,['cnn']
546,4000,['cnn']
17,444,['cnn']
392,445,['cnn']
400,45,['cnn']
1104,457,['cnn']
305,458,['cnn']
920,4799,['cnn']
1013,48,['cnn']
81,4970,['cnn']
1007,5,['cnn']
428,50,['cnn']
647,536,['cnn']
571,539,['cnn']
231,54,['cnn']
122,56,['cnn']
992,5970,['cnn']
964,6,['cnn']
636,60000,['cnn']
162,613,['cnn']
897,618,['cnn']
974,629,['cnn']
657,63,['cnn']
811,641,['cnn']
216,7,['cnn']
1053,70000,['cnn']
521,7333916,['cnn']
782,740,['cnn']
929,789,['cnn']
394,793,['cnn']
467,8,['cnn']
344,84,['cnn']
23,85,['cnn']
659,8506,['cnn']
612,8th,['cnn']
774,9,['cnn']
980,906,['cnn']
297,910,['cnn']
1060,95,['cnn']
747,958,['cnn']
570,96,['cnn']
748,962,['cnn']
1005,97,['cnn']
143,978,['cnn']
277,98,['cnn']
878,99,['cnn']
1021,9th,['cnn']
422,a,['cnn']
1025,A,['cnn']
